#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
677569	7316	113164	-	UBC	HMG20	-	PTM	Zhao Y (2008)	18206972	9606	Homo sapiens	BIOGRID
677571	7316	113164	-	UBC	HMG20	-	PTM	Wang Q (2008)	18199748	9606	Homo sapiens	BIOGRID
677572	7316	113164	-	UBC	HMG20	-	PTM	Olson BL (2008)	18198341	9606	Homo sapiens	BIOGRID
677573	7316	113164	-	UBC	HMG20	-	PTM	Kawahara K (2008)	18195004	9606	Homo sapiens	BIOGRID
677574	7316	113164	-	UBC	HMG20	-	PTM	Yu J (2008)	18194665	9606	Homo sapiens	BIOGRID
677575	7316	113164	-	UBC	HMG20	-	PTM	Windheim M (2008)	18180283	9606	Homo sapiens	BIOGRID
677577	7316	113164	-	UBC	HMG20	-	PTM	Wooten MW (2008)	18174161	9606	Homo sapiens	BIOGRID
677579	7316	113164	-	UBC	HMG20	-	PTM	Guo X (2008)	18172167	9606	Homo sapiens	BIOGRID
677580	7316	113164	-	UBC	HMG20	-	PTM	Xia T (2007)	17873020	9606	Homo sapiens	BIOGRID
677581	7316	113164	-	UBC	HMG20	-	PTM	Lin SC (2008)	18164316	9606	Homo sapiens	BIOGRID
677582	7316	113164	-	UBC	HMG20	-	PTM	Povlsen GK (2008)	17995934	9606	Homo sapiens	BIOGRID
677583	7316	113164	-	UBC	HMG20	-	PTM	Kayagaki N (2007)	17991829	9606	Homo sapiens	BIOGRID
677584	7316	113164	-	UBC	HMG20	-	PTM	Giannini AL (2008)	17990982	9606	Homo sapiens	BIOGRID
677585	7316	113164	-	UBC	HMG20	-	PTM	Qu J (2007)	17987106	9606	Homo sapiens	BIOGRID
677586	7316	113164	-	UBC	HMG20	-	PTM	Cao Z (2008)	17980554	9606	Homo sapiens	BIOGRID
677587	7316	113164	-	UBC	HMG20	-	PTM	Zoubeidi A (2007)	17974989	9606	Homo sapiens	BIOGRID
677588	7316	113164	-	UBC	HMG20	-	PTM	Park SS (2008)	17973296	9606	Homo sapiens	BIOGRID
677589	7316	113164	-	UBC	HMG20	-	PTM	Khan EM (2008)	17971399	9606	Homo sapiens	BIOGRID
677590	7316	113164	-	UBC	HMG20	-	PTM	Stoyanova T (2008)	17967871	9606	Homo sapiens	BIOGRID
677591	7316	113164	-	UBC	HMG20	-	PTM	Wilkinson JC (2008)	17967870	9606	Homo sapiens	BIOGRID
677593	7316	113164	-	UBC	HMG20	-	PTM	Kamsteeg EJ (2008)	17965877	9606	Homo sapiens	BIOGRID
677594	7316	113164	-	UBC	HMG20	-	PTM	Gallegos JR (2008)	17965458	9606	Homo sapiens	BIOGRID
677595	7316	113164	-	UBC	HMG20	-	PTM	Picard N (2008)	17962381	9606	Homo sapiens	BIOGRID
677596	7316	113164	-	UBC	HMG20	-	PTM	Nie L (2008)	17962192	9606	Homo sapiens	BIOGRID
677597	7316	113164	-	UBC	HMG20	-	PTM	Jurd R (2008)	17962190	9606	Homo sapiens	BIOGRID
677598	7316	113164	-	UBC	HMG20	-	PTM	Huang CC (2008)	17952113	9606	Homo sapiens	BIOGRID
677599	7316	113164	-	UBC	HMG20	-	PTM	Bhandari D (2007)	17947233	9606	Homo sapiens	BIOGRID
677600	7316	113164	-	UBC	HMG20	-	PTM	Park J (2007)	17942705	9606	Homo sapiens	BIOGRID
677601	7316	113164	-	UBC	HMG20	-	PTM	Shembade N (2007)	17942533	9606	Homo sapiens	BIOGRID
677602	7316	113164	-	UBC	HMG20	-	PTM	Shembade N (2007)	17942533	9606	Homo sapiens	BIOGRID
677604	7316	113164	-	UBC	HMG20	-	PTM	Balagopalan L (2007)	17938199	9606	Homo sapiens	BIOGRID
677605	7316	113164	-	UBC	HMG20	-	PTM	Binette J (2007)	17937819	9606	Homo sapiens	BIOGRID
677606	7316	113164	-	UBC	HMG20	-	PTM	Li X (2007)	17936707	9606	Homo sapiens	BIOGRID
677608	7316	113164	-	UBC	HMG20	-	PTM	Lu X (2007)	17936559	9606	Homo sapiens	BIOGRID
677609	7316	113164	-	UBC	HMG20	-	PTM	Lu X (2007)	17936559	9606	Homo sapiens	BIOGRID
677610	7316	113164	-	UBC	HMG20	-	PTM	Wang Y (2007)	17932042	9606	Homo sapiens	BIOGRID
677611	7316	113164	-	UBC	HMG20	-	PTM	Lee OH (2007)	17925401	9606	Homo sapiens	BIOGRID
677612	7316	113164	-	UBC	HMG20	-	PTM	Hoevelmeyer N (2007)	17923499	9606	Homo sapiens	BIOGRID
677613	7316	113164	-	UBC	HMG20	-	PTM	Hoevelmeyer N (2007)	17923499	9606	Homo sapiens	BIOGRID
677617	7316	113164	-	UBC	HMG20	-	PTM	Cheng A (2007)	17908927	9606	Homo sapiens	BIOGRID
677618	7316	113164	-	UBC	HMG20	-	PTM	Lukashchuk N (2007)	17908790	9606	Homo sapiens	BIOGRID
677619	7316	113164	-	UBC	HMG20	-	PTM	Wu KL (2007)	17898043	9606	Homo sapiens	BIOGRID
677620	7316	113164	-	UBC	HMG20	-	PTM	Zhou T (2007)	17894482	9606	Homo sapiens	BIOGRID
677621	7316	113164	-	UBC	HMG20	-	PTM	Zhou T (2007)	17894482	9606	Homo sapiens	BIOGRID
677622	7316	113164	-	UBC	HMG20	-	PTM	Zhou T (2007)	17894482	9606	Homo sapiens	BIOGRID
677623	7316	113164	-	UBC	HMG20	-	PTM	Zhou T (2007)	17894482	9606	Homo sapiens	BIOGRID
677624	7316	113164	-	UBC	HMG20	-	PTM	Kfoury Y (2008)	17891179	9606	Homo sapiens	BIOGRID
677625	7316	113164	-	UBC	HMG20	-	PTM	Tang X (2007)	17891137	9606	Homo sapiens	BIOGRID
677626	7316	113164	-	UBC	HMG20	-	PTM	Zhang XC (2008)	17879958	9606	Homo sapiens	BIOGRID
677627	7316	113164	-	UBC	HMG20	-	PTM	Yanagawa T (2007)	17875708	9606	Homo sapiens	BIOGRID
677628	7316	113164	-	UBC	HMG20	-	PTM	Baek JH (2007)	17875644	9606	Homo sapiens	BIOGRID
677629	7316	113164	-	UBC	HMG20	-	PTM	Zenke-Kawasaki Y (2007)	17682061	9606	Homo sapiens	BIOGRID
677630	7316	113164	-	UBC	HMG20	-	PTM	Cao J (2007)	17681147	9606	Homo sapiens	BIOGRID
677631	7316	113164	-	UBC	HMG20	-	PTM	Peschard P (2007)	17679095	9606	Homo sapiens	BIOGRID
677632	7316	113164	-	UBC	HMG20	-	PTM	Butler MP (2007)	17675297	9606	Homo sapiens	BIOGRID
677633	7316	113164	-	UBC	HMG20	-	PTM	Butler MP (2007)	17675297	9606	Homo sapiens	BIOGRID
677634	7316	113164	-	UBC	HMG20	-	PTM	Li QM (2007)	17670986	9606	Homo sapiens	BIOGRID
677635	7316	113164	-	UBC	HMG20	-	PTM	Shenoy SK (2007)	17666399	9606	Homo sapiens	BIOGRID
677636	7316	113164	-	UBC	HMG20	-	PTM	Niwa J (2007)	17666395	9606	Homo sapiens	BIOGRID
677637	7316	113164	-	UBC	HMG20	-	PTM	Boutet SC (2007)	17662948	9606	Homo sapiens	BIOGRID
677638	7316	113164	-	UBC	HMG20	-	PTM	Boutet SC (2007)	17662948	9606	Homo sapiens	BIOGRID
677639	7316	113164	-	UBC	HMG20	-	PTM	Nakashima A (2007)	17658474	9606	Homo sapiens	BIOGRID
